CO_52 PM10_125 O3_1 SO2_6 NO2_86 lat_40.09068 lng_116.173553 AQI_243 PM25_243
CO_None PM10_None O3_None SO2_None NO2_None lat_40.00395 lng_116.205311 AQI_None PM25_None 
CO_30 PM10_103 O3_44 SO2_11 NO2_46 lat_39.987314 lng_116.287451 AQI_157 PM25_157 
CO_32 PM10_121 O3_33 SO2_12 NO2_70 lat_39.954047 lng_116.348991 AQI_188 PM25_188 
CO_37 PM10_113 O3_39 SO2_9 NO2_46 lat_39.91441 lng_116.184239 AQI_191 PM25_191 
CO_25 PM10_115 O3_41 SO2_10 NO2_37 lat_39.815129 lng_116.17115 AQI_184 PM25_184 
CO_32 PM10_110 O3_27 SO2_18 NO2_68 lat_39.876184 lng_116.39401 AQI_165 PM25_165 
CO_32 PM10_132 O3_27 SO2_12 NO2_82 lat_39.855959 lng_116.36781 AQI_148 PM25_148 
CO_30 PM10_122 O3_37 SO2_12 NO2_46 lat_39.86347 lng_116.279082 AQI_178 PM25_178 
CO_27 PM10_117 O3_43 SO2_8 NO2_41 lat_39.742768 lng_116.136045 AQI_175 PM25_175 
CO_42 PM10_150 O3_17 SO2_10 NO2_58 lat_39.58 lng_116 AQI_242 PM25_242 
CO_32 PM10_109 O3_36 SO2_11 NO2_50 lat_39.982053 lng_116.3974 AQI_177 PM25_177 
CO_30 PM10_117 O3_40 SO2_11 NO2_40 lat_39.937119 lng_116.460743 AQI_165 PM25_165 
CO_35 PM10_146 O3_25 SO2_12 NO2_82 lat_39.939554 lng_116.483746 AQI_151 PM25_151 
CO_None PM10_None O3_None SO2_None NO2_None lat_39.95258 lng_116.46452 AQI_None PM25_None 
CO_30 PM10_104 O3_42 SO2_8 NO2_36 lat_39.878193 lng_116.351974 AQI_155 PM25_155 
CO_27 PM10_121 O3_44 SO2_10 NO2_38 lat_39.929303 lng_116.35103 AQI_170 PM25_170 
CO_30 PM10_111 O3_36 SO2_12 NO2_48 lat_39.929287 lng_116.416883 AQI_171 PM25_171 
CO_30 PM10_111 O3_44 SO2_9 NO2_37 lat_39.886492 lng_116.407356 AQI_161 PM25_161 
CO_32 PM10_109 O3_41 SO2_12 NO2_51 lat_39.899136 lng_116.395383 AQI_171 PM25_171 
CO_37 PM10_115 O3_36 SO2_11 NO2_45 lat_39.718147 lng_116.406155 AQI_147 PM25_147 
CO_27 PM10_102 O3_40 SO2_14 NO2_45 lat_39.794491 lng_116.506319 AQI_150 PM25_150 
CO_30 PM10_115 O3_26 SO2_10 NO2_66 lat_39.52 lng_116.3 AQI_175 PM25_175 
CO_35 PM10_119 O3_38 SO2_15 NO2_47 lat_39.885241 lng_116.664162 AQI_147 PM25_147 
CO_25 PM10_117 O3_49 SO2_8 NO2_55 lat_39.712 lng_116.783 AQI_167 PM25_167 
CO_47 PM10_None O3_26 SO2_19 NO2_67 lat_40.127 lng_116.655 AQI_248 PM25_248 
CO_42 PM10_None O3_22 SO2_11 NO2_53 lat_40.217 lng_116.23 AQI_217 PM25_217 
CO_40 PM10_None O3_19 SO2_4 NO2_46 lat_40.292 lng_116.22 AQI_212 PM25_212 
CO_25 PM10_123 O3_38 SO2_10 NO2_51 lat_39.937 lng_116.106 AQI_207 PM25_207 
CO_50 PM10_120 O3_28 SO2_17 NO2_51 lat_40.143 lng_117.1 AQI_211 PM25_211 
CO_40 PM10_102 O3_30 SO2_20 NO2_48 lat_40.1 lng_117.12 AQI_201 PM25_201 
CO_50 PM10_123 O3_17 SO2_7 NO2_57 lat_40.328 lng_116.628 AQI_244 PM25_244 
CO_70 PM10_None O3_4 SO2_11 NO2_100 lat_40.37 lng_116.832 AQI_277 PM25_277 
CO_62 PM10_None O3_23 SO2_5 NO2_60 lat_40.499 lng_116.911 AQI_265 PM25_265 
CO_32 PM10_113 O3_24 SO2_8 NO2_51 lat_40.453 lng_115.972 AQI_209 PM25_209 
CO_30 PM10_None O3_27 SO2_2 NO2_55 lat_40.365 lng_115.988 AQI_231 PM25_231 
