UpdateTime_9:23 PM CO_52 Temperature_4 PM10_125 AQI_243 EngName_Haidianbeibuxinqu SO2_6 Humidity_46 Pressure_1015 PM25_243 NO2_86 O3_1 Wind_2
UpdateTime_12:00 AM CO_None Temperature_4 PM10_None AQI_None EngName_Haidianbeijingzhiwuyuan SO2_None Humidity_46 Pressure_1015 PM25_None NO2_None O3_None Wind_2
UpdateTime_9:23 PM CO_30 Temperature_4 PM10_103 AQI_157 EngName_Haidianwanliu SO2_11 Humidity_46 Pressure_1015 PM25_157 NO2_46 O3_44 Wind_2
UpdateTime_9:23 PM CO_32 Temperature_4 PM10_121 AQI_188 EngName_Xizhimenbeidajie SO2_12 Humidity_46 Pressure_1015 PM25_188 NO2_70 O3_33 Wind_2
UpdateTime_9:23 PM CO_37 Temperature_3 PM10_113 AQI_191 EngName_Shijingshangucheng SO2_9 Humidity_45 Pressure_1013 PM25_191 NO2_46 O3_39 Wind_2
UpdateTime_9:23 PM CO_25 Temperature_4 PM10_115 AQI_184 EngName_Fengtaiyungang SO2_10 Humidity_46 Pressure_1014 PM25_184 NO2_37 O3_41 Wind_0
UpdateTime_9:23 PM CO_32 Temperature_4 PM10_110 AQI_165 EngName_Yongdingmenneidajie SO2_18 Humidity_46 Pressure_1014 PM25_165 NO2_68 O3_27 Wind_0
UpdateTime_9:23 PM CO_32 Temperature_4 PM10_132 AQI_148 EngName_Nansanhuanxilu SO2_12 Humidity_46 Pressure_1014 PM25_148 NO2_82 O3_27 Wind_0
UpdateTime_9:23 PM CO_30 Temperature_4 PM10_122 AQI_178 EngName_Fengtaihuayuan SO2_12 Humidity_46 Pressure_1014 PM25_178 NO2_46 O3_37 Wind_0
UpdateTime_9:23 PM CO_27 Temperature_3 PM10_117 AQI_175 EngName_Fangshanliangxiang SO2_8 Humidity_49 Pressure_1015 PM25_175 NO2_41 O3_43 Wind_2
UpdateTime_9:23 PM CO_42 Temperature_3 PM10_150 AQI_242 EngName_Jingxinanliulihe SO2_10 Humidity_49 Pressure_1015 PM25_242 NO2_58 O3_17 Wind_2
UpdateTime_9:23 PM CO_32 Temperature_3 PM10_109 AQI_177 EngName_Chaoyangaotizhongxin SO2_11 Humidity_45 Pressure_1017 PM25_177 NO2_50 O3_36 Wind_0
UpdateTime_9:23 PM CO_30 Temperature_3 PM10_117 AQI_165 EngName_Chaoyangnongzhanguan SO2_11 Humidity_45 Pressure_1017 PM25_165 NO2_40 O3_40 Wind_0
UpdateTime_9:23 PM CO_35 Temperature_3 PM10_146 AQI_151 EngName_Dongsihuanbeilu SO2_12 Humidity_45 Pressure_1017 PM25_151 NO2_82 O3_25 Wind_0
UpdateTime_12:00 AM CO_None Temperature_3 PM10_None AQI_None EngName_Beijingmeiguodashiguan SO2_None Humidity_45 Pressure_1017 PM25_None NO2_None O3_None Wind_0
UpdateTime_9:23 PM CO_30 Temperature_None PM10_104 AQI_155 EngName_Xichengwanshouxigong SO2_8 Humidity_None Pressure_None PM25_155 NO2_36 O3_42 Wind_None
UpdateTime_9:23 PM CO_27 Temperature_None PM10_121 AQI_170 EngName_Xichengguanyuan SO2_10 Humidity_None Pressure_None PM25_170 NO2_38 O3_44 Wind_None
UpdateTime_9:23 PM CO_30 Temperature_None PM10_111 AQI_171 EngName_Dongchengdongsi SO2_12 Humidity_None Pressure_None PM25_171 NO2_48 O3_36 Wind_None
UpdateTime_9:23 PM CO_30 Temperature_None PM10_111 AQI_161 EngName_Dongchengtiantan SO2_9 Humidity_None Pressure_None PM25_161 NO2_37 O3_44 Wind_None
UpdateTime_9:23 PM CO_32 Temperature_None PM10_109 AQI_171 EngName_Qianmendongdajie SO2_12 Humidity_None Pressure_None PM25_171 NO2_51 O3_41 Wind_None
